94cfa29f161d4f597a8ad861390b9b88;Information System
function;Evaluations of Plant Maintenance Information System [PMIS];{NNS}{IN}{NN}{NNP}{-LRB-}{NNP}{-RRB-}
event;Evaluation to be performed using the Logistics Information System;{NN}{TO}{VB}{VBN}{VBG}{DT}{NNP}
event;Evaluation carried out;{NN}{VBD}{RP}
