a518aedaedeef88d32573e0d56cc18f8;Plan Statistical Key Figures
function;Statistical Key Figure Planning;{JJ}{NN}{NN}{NNP}
event;Statistical key figures to be planned;{JJ}{JJ}{NNS}{TO}{VB}{VBN}
event;Statistical key figures planned;{JJ}{JJ}{NNS}{VBD}
