e3051fabfcc87d2beb07677373792d0e;Sales and Operations Planning
function;Transfer of Results to Demand Management;{NN}{IN}{NNS}{TO}{NN}{NN}
function;Standard SOP;{NNP}
function;Flexible Planning;{JJ}{NNP}
event;Execute flexible planning;{VB}{JJ}{NN}
event;Sales and production quantities to be planned long to medium term;{NNS}{CC}{NN}{NNS}{TO}{VB}{VBN}{RB}{TO}{NN}{NN}
event;Sales plan is processed;{NNS}{VBP}{VBZ}{VBN}
event;Production plan is processed;{NN}{NN}{VBZ}{VBN}
event;Results transferred to Demand Management;{NNS}{VBN}{TO}{NN}{NN}
event;SOP data to be transferred to Demand Management;{NNP}{NNS}{TO}{VB}{VBN}{TO}{NN}{NN}
