751bdac2ba5de364c7db97218ddf11df;Master Data Maintenance
function;Divestiture of a Company;{NN}{IN}{DT}{NN}
function;Acquisition of a Company;{NN}{IN}{DT}{NN}
function;Company Split;{NN}{NN}
function;FS Chart of Accounts Change;{NN}{NN}{IN}{NNP}
function;Company Merger;{NN}{NN}
event;Investment divesti- ture to be entered for parent of original company;{NN}{NNS}{:}{NN}{TO}{VB}{VBN}{IN}{NN}{IN}{JJ}{NN}
event;Divestiture was entered;{NN}{VBD}{VBN}
event;Companies plan to merge;{NNS}{VBP}{TO}{VB}
event;No journal entries exist for the old item number;{DT}{NN}{NNS}{VBP}{IN}{DT}{JJ}{NN}{NN}
event;Main consolidation process to be started;{NNP}{NN}{NN}{TO}{VB}{VBN}
event;Existing item number is to be changed;{VBG}{NN}{NN}{VBZ}{TO}{VB}{VBN}
event;Existing item is to be split;{VBG}{NN}{VBZ}{TO}{VB}{VBN}
event;Existing items should be summarized;{VBG}{NNS}{MD}{VB}{VBN}
event;New item number should be created;{NNP}{NN}{NN}{MD}{VB}{VBN}
event;Fiscal year-end is reached;{JJ}{NN}{VBZ}{VBN}
event;Company is partially split into new company/ies;{NN}{VBZ}{RB}{VBN}{IN}{JJ}{NNS}
event;Company is sold to parent company of a different subgroup;{NN}{VBZ}{VBN}{TO}{NN}{NN}{IN}{DT}{JJ}{NN}
event;New company/ ies is/ are created;{NNP}{NN}{:}{NNS}{VBZ}{:}{VBP}{VBN}
event;Company is split completely into new companies;{NN}{VBZ}{JJ}{RB}{IN}{JJ}{NNS}
event;Company is acquired;{NN}{VBZ}{VBN}
