b5db8c64b6077e4a56f8c19ed008ceb0;Liquidity Forecast [TR-CM]
function;Process Planned Items;{VB}{NNP}{NNS}
function;Status Analysis;{NNP}{NN}
event;Planned record processing completed;{NNP}{NN}{NN}{VBN}
event;Bank/ customer payment advice for payment inflow/outflow;{NNP}{:}{NN}{NN}{NN}{IN}{NN}{NN}
event;Planned record created;{NNP}{NN}{VBD}
event;Planned records to be archived;{NNP}{NNS}{TO}{VB}{VBN}
event;Status analysis carried out;{NN}{NN}{VBD}{RP}
event;Planned items to be changed;{NNP}{NNS}{TO}{VB}{VBN}
