9f77f21ecdb7f4f5e7f1230b61d5601d;Planning
function;Cash Concentration;{NN}{NN}
event;Status analysis carried out;{NN}{NN}{VBD}{RP}
event;Cash concentration posted;{NN}{NN}{VBD}
