62b07eacefaf6ef9cbdce83525e5df34;Information System
function;Evaluations of Customer Service Information System [SMIS];{NNS}{IN}{NN}{NNP}{-LRB-}{NNP}{-RRB-}
event;Evaluation to be performed using the Logistics Information System;{NN}{TO}{VB}{VBN}{VBG}{DT}{NNP}
event;Evaluation carried out;{NN}{VBD}{RP}
