0a56ec2166af8d008e626d2a355b6496;Purchase Requisition
function;Purchase Requisition Assignment;{NN}{NN}{NN}
function;Purchase Requisition Processing;{NN}{NN}{NN}
function;Release Purchase Requisition;{NNP}
event;Purchase requisition released for purchase order;{NN}{NN}{VBN}{IN}{NN}{NN}
event;Source of supply assigned;{NN}{IN}{NN}{VBN}
event;Requirement for material/ external services exists;{NN}{IN}{NN}{:}{JJ}{NNS}{VBZ}
event;Purchase requisition released for contract release order;{NN}{NN}{VBN}{IN}{NN}{NN}{NN}
event;Requisition released for scheduling agreement schedule/SA release;{NN}{VBN}{IN}{NN}{NN}{NN}{NN}
event;Purchase requisition without source of supply created;{NN}{NN}{IN}{NN}{IN}{NN}{VBN}
